sem1,sem2,sem3,sem4,sem5,attendance,arrears_count,study_hours,sleep_hours,social_media,stress_level,internet_access,residence,travel_time,part_time_job,final_percentage
15,88,17,17,49,85,2,7.81736331721244,5.7919187360237965,1,2,1,1,90,0,36.2
57,99,84,92,72,62,3,6.59635278244447,5.519129305644132,2,2,0,0,115,1,84.8
42,16,15,67,27,50,1,6.840193485207245,8.652090735066224,2,0,0,1,113,1,34.4
54,44,48,40,52,88,3,3.900573894917574,4.980105367554607,2,2,0,0,41,0,42.6
88,92,94,68,33,74,0,2.317680625790644,5.150334420592301,1,1,1,0,68,1,73.0
32,33,40,75,49,60,4,5.839498189512275,8.771046782096423,1,2,1,1,48,1,43.8
91,44,39,80,86,83,2,2.4489748940360876,6.109397339408803,1,0,0,1,80,1,64.0
57,43,76,52,35,80,1,4.79280208038482,8.776707410876668,0,1,1,1,37,0,50.6
18,20,77,19,97,71,0,4.7345955464861245,8.117945738503913,2,0,1,1,98,0,48.2
82,73,32,65,86,62,3,7.882052332044616,7.236203418257027,1,1,0,1,36,0,62.599999999999994
74,15,70,19,20,91,1,7.648029894763292,5.759391304840229,1,1,1,1,34,1,41.6
36,34,83,26,83,87,2,3.440026781240146,6.981767126783353,1,0,1,0,6,1,49.4
52,47,60,25,22,51,4,3.5360477599739286,7.206963202656662,0,2,0,0,33,1,41.2
29,73,50,28,25,53,0,7.512839319541062,4.229449578469775,1,0,1,1,118,0,36.0
66,91,49,89,53,85,2,6.627196745341096,5.933188690913958,2,0,1,0,80,1,64.6
97,57,45,27,41,86,1,6.678990707330339,7.865894704229023,0,2,1,1,76,0,49.4
36,84,78,92,51,79,0,7.654346230259582,7.8571439229460065,1,2,1,1,39,0,72.2
19,75,34,46,87,57,0,2.83549043369731,5.977765093907609,0,2,0,1,13,1,55.2
14,25,69,89,85,95,2,7.058413122440262,7.366264444948797,0,1,0,1,34,1,56.4
53,67,74,96,64,65,4,1.0118876803238344,8.170511881472775,1,2,1,0,100,0,71.8
90,90,14,74,38,85,2,2.092800156083714,7.835846560279008,2,2,0,0,109,1,58.2
62,32,99,26,89,65,1,5.4359481258088795,8.375300649319897,1,2,0,0,19,1,56.6
27,56,81,81,85,50,4,1.2395931398216624,8.556893900809616,2,2,1,1,37,1,63.0
79,80,51,98,95,85,1,2.9143213080188954,4.671285577099612,0,0,1,0,78,0,75.6
64,33,83,70,64,53,1,1.6556282406032776,8.64133177864342,1,1,1,0,58,1,59.8
91,41,61,25,94,61,3,3.441832030410926,7.061145651346937,0,0,0,1,18,0,57.4
88,23,41,97,16,89,4,5.36521671963741,5.106818857046132,2,1,1,1,9,0,50.0
98,41,55,51,64,52,4,6.91852527289516,7.74728525759285,2,1,0,1,113,1,62.8
65,83,51,55,11,67,4,6.940801862836631,6.270514597491331,2,2,0,0,18,1,50.0
74,38,65,64,12,90,2,5.453727867231475,8.270941107423258,1,0,0,0,101,1,51.6
36,34,83,57,73,68,3,3.318438504670534,4.897418722836055,1,1,0,0,96,1,56.6
16,25,22,27,88,81,2,3.17229871610992,7.764364456406995,1,1,0,0,12,0,30.6
45,37,44,80,64,54,4,3.7899987424208232,4.24387925241764,0,2,0,0,98,1,54.0
41,11,28,50,20,72,1,4.872022217114222,8.922329204649916,2,2,0,1,107,1,31.0
77,16,94,24,19,52,4,7.364824864019646,4.2987626597710396,1,1,1,0,67,0,46.0
40,37,95,38,45,52,2,5.123720739381683,6.422545636841107,0,0,1,0,11,0,46.0
81,66,13,62,28,90,4,2.0921735109188506,6.303078621045697,1,2,0,1,37,0,53.0
13,30,42,28,63,90,4,6.439326566862403,5.54770600355736,2,0,1,1,64,1,31.200000000000003
39,83,39,66,50,86,4,6.690523017321477,5.674397323897502,2,2,0,1,65,0,56.4
75,84,11,90,95,69,1,5.367809351160501,5.433966559456236,0,1,0,0,36,1,69.0
72,49,77,51,95,54,1,2.3721661211682816,6.9719064809503415,1,0,0,1,79,0,64.8
63,48,79,34,28,65,4,7.3650465528534905,8.454733698908207,0,1,0,0,30,0,49.4
45,80,38,37,19,85,0,1.4278378353653487,8.135804111444031,1,2,0,0,34,0,44.8
46,81,19,31,60,59,0,7.746369625557456,8.901734549552298,0,0,1,0,78,1,43.4
54,66,88,92,12,68,1,6.225375299193855,4.543947876576716,2,0,1,1,51,1,65.4
47,50,68,60,73,50,3,6.124432319213977,5.344746091667341,1,2,0,0,80,0,59.6
88,88,18,48,76,90,0,4.8841683251521895,5.960622825067803,1,0,0,1,28,0,58.6
12,76,71,81,43,81,0,6.0015336487058395,7.351407879223842,1,0,0,1,18,1,52.6
67,52,92,81,97,70,1,3.486003924557712,7.1088050269128535,2,0,0,0,107,0,81.8
27,71,37,47,35,78,4,7.295276747472899,8.02735090446279,2,0,0,1,29,0,42.4
65,98,46,89,29,58,1,4.1356585508821055,4.586669464337599,0,1,0,1,5,0,63.400000000000006
48,39,52,71,77,65,2,5.492278344588218,5.8840948164353275,0,2,1,1,79,0,59.4
77,44,43,53,43,60,1,2.6793650976676635,8.401242386496513,1,1,1,1,65,1,51.0
30,19,60,77,63,80,1,6.738933064386012,7.960939253900366,1,2,1,0,29,0,53.8
42,57,84,99,21,58,1,2.623770808763486,6.080759264161378,0,0,0,1,42,0,55.6
71,67,57,70,49,62,1,1.132107155125567,6.537989511167209,2,2,1,1,118,1,59.8
11,22,52,16,36,92,1,5.019148553897554,7.731639863809159,1,0,1,0,67,0,24.4
92,18,53,76,31,80,0,4.473521517172752,4.6754829044752135,2,2,1,1,44,1,57.0
14,46,48,83,26,56,4,7.127168081339275,7.515919503547792,0,2,0,0,63,1,39.4
47,92,78,94,64,64,0,7.356166394891879,5.41159568733981,0,1,1,0,98,1,77.0
60,36,79,14,13,94,1,1.6525941521206793,8.721399346240586,1,1,0,1,61,0,39.4
25,57,87,53,80,50,1,1.8236443776282303,6.996624258999099,2,2,1,1,33,1,57.4
68,82,28,48,56,96,0,1.112783528334598,4.318169092685735,2,1,1,1,117,1,57.4
62,99,89,22,85,64,1,6.781030611383867,8.920937916824325,1,0,0,0,7,0,71.4
47,65,80,22,66,52,2,5.697194762518136,4.8342718945207475,2,2,1,0,40,1,52.0
73,83,68,99,88,57,4,2.4082508373506455,4.737726370623624,1,0,0,0,79,1,86.2
10,26,20,45,82,68,4,4.5803360116924985,5.891392958718309,0,2,0,1,33,1,37.6
93,49,29,10,10,55,1,2.600333427168331,4.745388586336059,1,0,0,1,117,1,39.2
90,22,23,25,83,79,4,7.547152640972193,4.900976292951018,2,2,1,1,83,1,52.6
26,43,72,53,31,79,1,6.868423332113431,6.375813200834009,0,2,1,0,46,1,47.0
79,80,93,15,91,64,2,4.958011745427637,8.896586204450053,1,1,0,1,30,0,67.6
27,31,81,41,52,90,0,3.7769354696885227,5.017987560425191,1,2,0,0,39,0,47.4
81,54,90,84,88,80,2,1.812518167714022,5.277758706913774,1,2,0,0,59,0,75.4
91,35,91,28,95,61,1,7.066303542438816,7.173333048755073,1,1,0,0,92,1,66.0
98,49,92,98,87,97,3,4.3245497528421755,6.153210215629482,0,2,0,1,16,0,85.8
88,46,77,89,40,56,3,2.3827692223615293,4.571822048691325,0,0,1,1,38,0,72.0
62,12,28,20,98,61,1,4.806916771013416,8.406552593058336,2,2,0,1,109,1,46.0
70,63,88,96,94,56,1,2.6349687920205067,6.941238861935233,1,1,0,0,41,1,84.2
90,59,41,16,55,95,3,1.1036224476880023,4.737763124651012,0,2,1,1,21,0,56.2
14,89,76,12,13,62,2,5.3913370352945496,5.705100725020233,1,1,0,1,90,1,41.8
80,16,87,27,32,66,2,3.0065144470911513,5.0522980887440445,1,2,1,0,34,1,44.4
79,17,55,67,58,54,1,4.27150620904505,5.270877260932948,1,2,1,1,30,0,54.2
16,22,96,31,76,80,0,2.857780671059464,8.370340131147811,2,2,0,1,67,1,45.2
28,35,72,68,69,61,4,2.0077532662058544,4.414959641596275,2,2,0,1,54,1,49.4
98,47,13,98,30,70,3,5.431763993312708,6.432414293266582,2,2,0,1,53,1,57.2
55,54,86,55,30,56,2,2.8609608628003995,4.584299587647012,1,1,1,1,30,1,54.0
86,91,60,26,75,67,0,7.264156997883863,4.184735570294108,0,0,0,0,39,1,71.6
99,24,73,69,72,86,3,2.6630112190783484,7.545976714780947,0,2,1,0,100,1,64.4
59,57,60,18,28,70,3,2.016812942787067,4.508547811475875,2,1,0,1,95,0,46.4
30,27,14,87,92,81,1,4.271697898960948,6.828296196548335,1,1,0,1,26,0,45.0
16,75,17,99,82,80,4,6.822133396631147,6.868663850894328,1,0,0,0,69,1,58.8
77,81,96,26,81,76,0,6.967769668616487,8.757913200762955,0,0,1,1,37,1,76.2
40,82,18,87,24,87,4,2.3969792295650967,4.075886755199257,2,2,1,1,66,0,51.2
68,74,23,64,65,69,1,4.131994808270035,7.191140837692242,0,1,0,0,11,0,53.8
