Previous_Sem_Mark,Attendance,Arrears_Count,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Media_Usage,Stress_Level,Internet_Access,Hostel_or_DayScholar,Travel_Time_Minutes,Part_Time_Job,Next_Sem_Mark,Result
47,86,1,2.6,6.5,Medium,Medium,Unlimited,Hosteller,12,No,23,Fail
58,98,7,9.4,6.9,Medium,Low,Limited,DayScholar,37,Yes,45,Pass
66,87,7,8.5,6.5,High,Low,Unlimited,Hosteller,95,No,41,Pass
96,75,5,4.9,3.2,Low,Medium,Unlimited,Hosteller,21,Yes,49,Pass
95,58,8,7.8,4.4,Low,Medium,Unlimited,Hosteller,120,No,60,Pass
100,87,2,8.6,8.6,Medium,Low,Limited,Hosteller,111,Yes,77,Pass
62,83,2,6.6,7.5,Medium,Medium,Unlimited,DayScholar,60,Yes,35,Pass
97,91,0,3.9,7.0,Medium,High,Unlimited,Hosteller,94,No,55,Pass
31,85,0,5.9,4.5,High,Medium,Limited,Hosteller,48,Yes,19,Fail
71,89,6,9.0,3.1,Low,Medium,Limited,DayScholar,54,Yes,46,Pass
47,60,2,9.1,4.5,Medium,High,Unlimited,DayScholar,43,No,22,Fail
51,93,3,1.6,8.9,Medium,Medium,Unlimited,DayScholar,91,No,28,Fail
38,54,5,9.7,9.8,Low,Medium,Limited,DayScholar,84,No,18,Fail
53,84,3,3.1,4.7,Low,Medium,Limited,DayScholar,11,No,37,Pass
79,69,0,3.3,5.2,High,Medium,Limited,DayScholar,12,Yes,37,Pass
75,81,7,8.6,4.1,High,Medium,Limited,Hosteller,22,Yes,40,Pass
70,69,1,7.1,8.8,High,Medium,Limited,Hosteller,18,Yes,38,Pass
100,97,3,1.8,6.0,Low,Low,Limited,DayScholar,99,Yes,67,Pass
85,85,4,5.4,9.0,Medium,Low,Unlimited,DayScholar,21,No,70,Pass
63,67,6,5.6,4.2,Low,Low,Unlimited,Hosteller,22,No,44,Pass
86,93,10,7.3,4.7,Medium,High,Unlimited,Hosteller,91,No,45,Pass
68,94,4,8.5,5.6,High,High,Unlimited,Hosteller,109,Yes,37,Pass
79,82,2,5.4,10.0,High,Low,Unlimited,Hosteller,34,Yes,36,Pass
40,78,3,9.7,5.7,Medium,Medium,Limited,DayScholar,56,Yes,39,Pass
99,62,4,3.1,8.3,High,Medium,Limited,DayScholar,62,No,41,Pass
94,73,9,8.1,6.1,High,Medium,Unlimited,Hosteller,15,No,51,Pass
56,85,0,9.9,7.4,High,High,Limited,DayScholar,76,No,41,Pass
93,97,3,6.4,7.5,High,Low,Unlimited,Hosteller,81,No,57,Pass
52,99,1,8.2,7.2,Medium,Medium,Unlimited,DayScholar,19,No,48,Pass
92,60,7,5.1,4.9,Low,High,Unlimited,Hosteller,45,Yes,45,Pass
32,60,8,7.1,4.1,Low,Medium,Unlimited,DayScholar,26,Yes,8,Fail
68,91,8,2.7,7.3,Low,Medium,Unlimited,Hosteller,61,No,35,Pass
47,95,7,3.6,8.3,Low,Low,Limited,DayScholar,8,Yes,25,Fail
80,70,7,9.3,9.7,Low,Low,Limited,Hosteller,87,Yes,46,Pass
97,96,9,4.4,7.6,Medium,Low,Limited,Hosteller,28,No,59,Pass
93,78,6,7.5,9.8,Low,Medium,Unlimited,DayScholar,27,No,66,Pass
72,81,9,1.1,4.5,Low,Low,Limited,Hosteller,109,No,36,Pass
79,87,4,9.2,5.8,High,Low,Limited,Hosteller,49,Yes,45,Pass
65,99,1,4.3,4.3,Medium,High,Limited,DayScholar,87,Yes,39,Pass
64,97,9,7.2,8.3,Medium,Low,Limited,Hosteller,7,Yes,42,Pass
98,52,7,6.6,9.3,High,Medium,Limited,DayScholar,11,No,50,Pass
40,69,0,8.6,3.4,Medium,Medium,Limited,DayScholar,101,No,17,Fail
68,56,6,8.4,6.5,Low,Medium,Unlimited,DayScholar,114,No,35,Pass
71,86,1,4.5,5.0,Medium,Medium,Unlimited,Hosteller,118,Yes,38,Pass
36,83,7,5.8,9.9,Low,High,Unlimited,DayScholar,120,No,14,Fail
69,79,9,9.8,6.7,Low,Low,Limited,DayScholar,87,Yes,42,Pass
97,91,1,8.6,8.6,Low,High,Limited,DayScholar,2,No,84,Pass
66,64,3,6.0,9.1,Low,Medium,Unlimited,DayScholar,69,Yes,35,Pass
75,79,0,1.9,5.1,High,High,Limited,Hosteller,105,No,43,Pass
70,99,8,6.5,10.0,Medium,High,Unlimited,DayScholar,77,No,37,Pass
83,75,4,9.4,9.3,High,Low,Limited,Hosteller,108,Yes,51,Pass
64,79,4,8.0,5.6,High,Medium,Unlimited,DayScholar,58,Yes,43,Pass
66,97,6,6.9,6.0,Medium,Low,Unlimited,DayScholar,91,No,39,Pass
38,58,3,9.7,4.6,Low,Low,Unlimited,Hosteller,61,Yes,25,Fail
100,93,6,8.3,8.2,Medium,High,Unlimited,Hosteller,61,Yes,54,Pass
98,88,8,1.5,5.9,Medium,Medium,Unlimited,DayScholar,62,Yes,53,Pass
77,88,7,2.4,4.2,Low,High,Unlimited,Hosteller,7,No,48,Pass
47,91,3,3.2,6.5,Medium,Low,Limited,Hosteller,89,No,25,Fail
41,90,8,8.3,3.4,Low,High,Limited,Hosteller,72,Yes,18,Fail
